"Time","192.168.49.2:10250 DELETE ","192.168.49.2:10250 GET ","192.168.49.2:10250 PATCH ","192.168.49.2:10250 POST ","192.168.49.2:10250 PUT "
2024-08-06 13:18:00,NaN,23.2 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:19:00,NaN,23.2 ms,NaN,4.95 ms,93.3 ms
2024-08-06 13:20:00,NaN,4.95 ms,NaN,4.95 ms,93.3 ms
2024-08-06 13:21:00,NaN,4.95 ms,24.8 ms,NaN,24.8 ms
2024-08-06 13:22:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 13:23:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:24:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:25:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:26:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 13:27:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 13:28:00,NaN,4.95 ms,NaN,NaN,24.8 ms
2024-08-06 13:29:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:30:00,NaN,4.95 ms,NaN,NaN,24.8 ms
2024-08-06 13:31:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 13:32:00,NaN,4.95 ms,24.8 ms,NaN,24.8 ms
2024-08-06 13:33:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:34:00,NaN,4.95 ms,NaN,4.95 ms,93.3 ms
2024-08-06 13:35:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:36:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 13:37:00,NaN,23.2 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 13:38:00,NaN,23.2 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:39:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:40:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:41:00,NaN,4.95 ms,NaN,NaN,24.8 ms
2024-08-06 13:42:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 13:43:00,NaN,4.95 ms,NaN,NaN,24.8 ms
2024-08-06 13:44:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:45:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:46:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 13:47:00,NaN,4.95 ms,24.8 ms,NaN,24.8 ms
2024-08-06 13:48:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
