"Time","Process CPU - healthcareorchestration"
2024-08-09 07:06:00,
2024-08-09 07:07:00,
2024-08-09 07:08:00,
2024-08-09 07:09:00,
2024-08-09 07:10:00,24.0%
2024-08-09 07:11:00,23.3%
2024-08-09 07:12:00,21.9%
2024-08-09 07:13:00,23.3%
2024-08-09 07:14:00,23.1%
2024-08-09 07:15:00,23.0%
2024-08-09 07:16:00,14.2%
2024-08-09 07:17:00,1.61%
2024-08-09 07:18:00,1.33%
2024-08-09 07:19:00,1.35%
