"Time","Process CPU - healthcareorchestration"
2024-08-09 14:11:00,
2024-08-09 14:12:00,
2024-08-09 14:13:00,
2024-08-09 14:14:00,
2024-08-09 14:15:00,22.2%
2024-08-09 14:16:00,24.4%
2024-08-09 14:17:00,15.2%
2024-08-09 14:18:00,9.82%
2024-08-09 14:19:00,9.23%
2024-08-09 14:20:00,8.03%
2024-08-09 14:21:00,6.32%
2024-08-09 14:22:00,1.77%
2024-08-09 14:23:00,1.33%
2024-08-09 14:24:00,1.32%
2024-08-09 14:25:00,1.38%
