"Time","Server response time - healthcareorchestration"
2024-08-08 17:34:00,
2024-08-08 17:35:00,
2024-08-08 17:36:00,
2024-08-08 17:37:00,
2024-08-08 17:38:00,
2024-08-08 17:39:00,
2024-08-08 17:40:00,
2024-08-08 17:41:00,
2024-08-08 17:42:00,
2024-08-08 17:43:00,
2024-08-08 17:44:00,963 ms
2024-08-08 17:45:00,1.32 s
2024-08-08 17:46:00,804 ms
2024-08-08 17:47:00,587 ms
2024-08-08 17:48:00,583 ms
2024-08-08 17:49:00,569 ms
2024-08-08 17:50:00,546 ms
2024-08-08 17:51:00,542 ms
2024-08-08 17:52:00,
2024-08-08 17:53:00,
2024-08-08 17:54:00,
2024-08-08 17:55:00,
2024-08-08 17:56:00,
2024-08-08 17:57:00,
2024-08-08 17:58:00,
2024-08-08 17:59:00,
2024-08-08 18:00:00,
2024-08-08 18:01:00,
2024-08-08 18:02:00,
2024-08-08 18:03:00,
2024-08-08 18:04:00,
