"Time","Server response time - healthcareorchestration"
2024-08-09 07:06:00,
2024-08-09 07:07:00,
2024-08-09 07:08:00,
2024-08-09 07:09:00,1.74 s
2024-08-09 07:10:00,1.21 s
2024-08-09 07:11:00,660 ms
2024-08-09 07:12:00,460 ms
2024-08-09 07:13:00,392 ms
2024-08-09 07:14:00,389 ms
2024-08-09 07:15:00,395 ms
2024-08-09 07:16:00,389 ms
2024-08-09 07:17:00,
2024-08-09 07:18:00,
2024-08-09 07:19:00,
