"Time","Server response time - healthcareorchestration"
2024-08-09 13:08:00,
2024-08-09 13:09:00,
2024-08-09 13:10:00,2.49 s
2024-08-09 13:11:00,2.18 s
2024-08-09 13:12:00,2.15 s
2024-08-09 13:13:00,1.33 s
2024-08-09 13:14:00,922 ms
2024-08-09 13:15:00,751 ms
2024-08-09 13:16:00,626 ms
2024-08-09 13:17:00,564 ms
2024-08-09 13:18:00,
2024-08-09 13:19:00,
2024-08-09 13:20:00,
2024-08-09 13:21:00,
2024-08-09 13:22:00,
