"Time","Traces - healthcareorchestration"
2024-08-09 14:11:00,0
2024-08-09 14:12:00,0
2024-08-09 14:13:00,0
2024-08-09 14:14:00,14.4 K
2024-08-09 14:15:00,76.1 K
2024-08-09 14:16:00,137 K
2024-08-09 14:17:00,88.7 K
2024-08-09 14:18:00,84.4 K
2024-08-09 14:19:00,106 K
2024-08-09 14:20:00,106 K
2024-08-09 14:21:00,49.4 K
2024-08-09 14:22:00,1.40 K
2024-08-09 14:23:00,1.40 K
2024-08-09 14:24:00,1.40 K
2024-08-09 14:25:00,1.40 K
